date,country,value
2020-01-22,Liechtenstein,0
2020-01-22,Lithuania,0
2020-01-22,Luxembourg,0
2020-01-22,Malaysia,0
2020-01-22,Maldives,0
2020-01-22,Malta,0
2020-01-22,Martinique,0
2020-01-22,Mauritania,0
2020-01-22,Mauritius,0
2020-01-22,Mexico,0
2020-01-22,Moldova,0
2020-01-22,Monaco,0
2020-01-22,Mongolia,0
2020-01-22,Montenegro,0
2020-01-22,Morocco,0
2020-01-22,Namibia,0
2020-01-22,Nepal,0
2020-01-22,Netherlands,0
2020-01-22,New Zealand,0
2020-01-22,Nigeria,0
2020-01-22,North Macedonia,0
2020-01-22,Norway,0
2020-01-22,Oman,0
2020-01-22,Pakistan,0
2020-01-22,Panama,0
2020-01-22,Paraguay,0
2020-01-22,Peru,0
2020-01-22,Philippines,0
2020-01-22,Poland,0
2020-01-22,Portugal,0
2020-01-22,Qatar,0
2020-01-22,Romania,0
2020-01-22,Russia,0
2020-01-22,Rwanda,0
2020-01-22,Saint Lucia,0
2020-01-22,Saint Vincent and the Grenadines,0
2020-01-22,San Marino,0
2020-01-22,Saudi Arabia,0
2020-01-22,Senegal,0
2020-01-22,Serbia,0
2020-01-22,Seychelles,0
2020-01-22,Singapore,0
2020-01-22,Slovakia,0
2020-01-22,Slovenia,0
2020-01-22,Somalia,0
2020-01-22,South Africa,0
2020-01-22,Spain,0
2020-01-22,Sri Lanka,0
2020-01-22,Sudan,0
2020-01-22,Suriname,0
2020-01-22,Sweden,0
2020-01-22,Switzerland,0
2020-01-22,Taiwan*,1
2020-01-22,Tanzania,0
2020-01-22,Thailand,2
2020-01-22,The Bahamas,0
2020-01-22,Togo,0
2020-01-22,Trinidad and Tobago,0
2020-01-22,Tunisia,0
2020-01-22,Turkey,0
2020-01-22,US,1
2020-01-22,Ukraine,0
2020-01-22,United Arab Emirates,0
2020-01-22,United Kingdom,0
2020-01-22,Uruguay,0
2020-01-22,Uzbekistan,0
2020-01-22,Venezuela,0
2020-01-22,Vietnam,0
2020-01-22,Zambia,0
2020-01-23,Afghanistan,0
2020-01-23,Albania,0
2020-01-23,Algeria,0
2020-01-23,Andorra,0
2020-01-23,Antigua and Barbuda,0
2020-01-23,Argentina,0
2020-01-23,Armenia,0
2020-01-23,Australia,0
2020-01-23,Austria,0
2020-01-23,Azerbaijan,0
2020-01-23,Bahrain,0
2020-01-23,Bangladesh,0
2020-01-23,Barbados,0
2020-01-23,Belarus,0
2020-01-23,Belgium,0
2020-01-23,Benin,0
2020-01-23,Bhutan,0
2020-01-23,Bolivia,0
2020-01-23,Bosnia and Herzegovina,0
2020-01-23,Brazil,0
2020-01-23,Brunei,0
2020-01-23,Bulgaria,0
2020-01-23,Burkina Faso,0
2020-01-23,Cambodia,0
2020-01-23,Cameroon,0
2020-01-23,Canada,0
2020-01-23,Central African Republic,0
2020-01-23,Chile,0
2020-01-23,China,643
2020-01-23,Colombia,0
2020-01-23,Congo (Brazzaville),0
2020-01-23,Congo (Kinshasa),0
2020-01-23,Costa Rica,0
2020-01-23,Cote d'Ivoire,0
2020-01-23,Croatia,0
2020-01-23,Cruise Ship,0
2020-01-23,Cuba,0
2020-01-23,Cyprus,0
2020-01-23,Czechia,0
2020-01-23,Denmark,0
2020-01-23,Djibouti,0
2020-01-23,Dominican Republic,0
2020-01-23,Ecuador,0
2020-01-23,Egypt,0
2020-01-23,Equatorial Guinea,0
2020-01-23,Estonia,0
2020-01-23,Eswatini,0
2020-01-23,Ethiopia,0
2020-01-23,Finland,0
2020-01-23,France,0
2020-01-23,Gabon,0
2020-01-23,"Gambia, The",0
2020-01-23,Georgia,0
2020-01-23,Germany,0
2020-01-23,Ghana,0
2020-01-23,Greece,0
2020-01-23,Greenland,0
2020-01-23,Guatemala,0
2020-01-23,Guinea,0
2020-01-23,Guyana,0
2020-01-23,Holy See,0
2020-01-23,Honduras,0
2020-01-23,Hungary,0
2020-01-23,Iceland,0
2020-01-23,India,0
2020-01-23,Indonesia,0
2020-01-23,Iran,0
2020-01-23,Iraq,0
2020-01-23,Ireland,0
2020-01-23,Israel,0
2020-01-23,Italy,0
2020-01-23,Jamaica,0
2020-01-23,Japan,1
2020-01-23,Jordan,0
2020-01-23,Kazakhstan,0
2020-01-23,Kenya,0
2020-01-23,"Korea, South",1
2020-01-23,Kosovo,0
2020-01-23,Kuwait,0
2020-01-23,Kyrgyzstan,0
2020-01-23,Latvia,0
2020-01-23,Lebanon,0
2020-01-23,Liberia,0
2020-01-23,Liechtenstein,0
2020-01-23,Lithuania,0
2020-01-23,Luxembourg,0
2020-01-23,Malaysia,0
2020-01-23,Maldives,0
2020-01-23,Malta,0
2020-01-23,Martinique,0
2020-01-23,Mauritania,0
2020-01-23,Mauritius,0
2020-01-23,Mexico,0
2020-01-23,Moldova,0
2020-01-23,Monaco,0
2020-01-23,Mongolia,0
2020-01-23,Montenegro,0
2020-01-23,Morocco,0
2020-01-23,Namibia,0
2020-01-23,Nepal,0
2020-01-23,Netherlands,0
2020-01-23,New Zealand,0
2020-01-23,Nigeria,0
2020-01-23,North Macedonia,0
2020-01-23,Norway,0
2020-01-23,Oman,0
2020-01-23,Pakistan,0
2020-01-23,Panama,0
2020-01-23,Paraguay,0
2020-01-23,Peru,0
2020-01-23,Philippines,0
2020-01-23,Poland,0
2020-01-23,Portugal,0
2020-01-23,Qatar,0
2020-01-23,Romania,0
2020-01-23,Russia,0
2020-01-23,Rwanda,0
2020-01-23,Saint Lucia,0
2020-01-23,Saint Vincent and the Grenadines,0
2020-01-23,San Marino,0
2020-01-23,Saudi Arabia,0
2020-01-23,Senegal,0
2020-01-23,Serbia,0
2020-01-23,Seychelles,0
2020-01-23,Singapore,1
2020-01-23,Slovakia,0
2020-01-23,Slovenia,0
2020-01-23,Somalia,0
2020-01-23,South Africa,0
2020-01-23,Spain,0
2020-01-23,Sri Lanka,0
2020-01-23,Sudan,0
2020-01-23,Suriname,0
2020-01-23,Sweden,0
2020-01-23,Switzerland,0
2020-01-23,Taiwan*,1
2020-01-23,Tanzania,0
2020-01-23,Thailand,3
2020-01-23,The Bahamas,0
2020-01-23,Togo,0
2020-01-23,Trinidad and Tobago,0
2020-01-23,Tunisia,0
2020-01-23,Turkey,0
2020-01-23,US,1
2020-01-23,Ukraine,0
2020-01-23,United Arab Emirates,0
2020-01-23,United Kingdom,0
2020-01-23,Uruguay,0
2020-01-23,Uzbekistan,0
2020-01-23,Venezuela,0
2020-01-23,Vietnam,2
2020-01-23,Zambia,0
2020-01-24,Afghanistan,0
2020-01-24,Albania,0
2020-01-24,Algeria,0
2020-01-24,Andorra,0
2020-01-24,Antigua and Barbuda,0
2020-01-24,Argentina,0
2020-01-24,Armenia,0
2020-01-24,Australia,0
2020-01-24,Austria,0
2020-01-24,Azerbaijan,0
2020-01-24,Bahrain,0
2020-01-24,Bangladesh,0
2020-01-24,Barbados,0
2020-01-24,Belarus,0
2020-01-24,Belgium,0
2020-01-24,Benin,0
2020-01-24,Bhutan,0
2020-01-24,Bolivia,0
2020-01-24,Bosnia and Herzegovina,0
2020-01-24,Brazil,0
2020-01-24,Brunei,0
2020-01-24,Bulgaria,0
2020-01-24,Burkina Faso,0
2020-01-24,Cambodia,0
2020-01-24,Cameroon,0
2020-01-24,Canada,0
2020-01-24,Central African Republic,0
2020-01-24,Chile,0
2020-01-24,China,920
2020-01-24,Colombia,0
2020-01-24,Congo (Brazzaville),0
2020-01-24,Congo (Kinshasa),0
2020-01-24,Costa Rica,0
2020-01-24,Cote d'Ivoire,0
2020-01-24,Croatia,0
2020-01-24,Cruise Ship,0
2020-01-24,Cuba,0
2020-01-24,Cyprus,0
2020-01-24,Czechia,0
2020-01-24,Denmark,0
2020-01-24,Djibouti,0
2020-01-24,Dominican Republic,0
2020-01-24,Ecuador,0
2020-01-24,Egypt,0
2020-01-24,Equatorial Guinea,0
2020-01-24,Estonia,0
2020-01-24,Eswatini,0
2020-01-24,Ethiopia,0
2020-01-24,Finland,0
2020-01-24,France,2
2020-01-24,Gabon,0
2020-01-24,"Gambia, The",0
2020-01-24,Georgia,0
2020-01-24,Germany,0
2020-01-24,Ghana,0
2020-01-24,Greece,0
2020-01-24,Greenland,0
2020-01-24,Guatemala,0
2020-01-24,Guinea,0
2020-01-24,Guyana,0
2020-01-24,Holy See,0
2020-01-24,Honduras,0
2020-01-24,Hungary,0
2020-01-24,Iceland,0
2020-01-24,India,0
2020-01-24,Indonesia,0
2020-01-24,Iran,0
2020-01-24,Iraq,0
2020-01-24,Ireland,0
2020-01-24,Israel,0
2020-01-24,Italy,0
2020-01-24,Jamaica,0
2020-01-24,Japan,2
2020-01-24,Jordan,0
2020-01-24,Kazakhstan,0
2020-01-24,Kenya,0
2020-01-24,"Korea, South",2
2020-01-24,Kosovo,0
2020-01-24,Kuwait,0
2020-01-24,Kyrgyzstan,0
2020-01-24,Latvia,0
2020-01-24,Lebanon,0
2020-01-24,Liberia,0
2020-01-24,Liechtenstein,0
2020-01-24,Lithuania,0
2020-01-24,Luxembourg,0
2020-01-24,Malaysia,0
2020-01-24,Maldives,0
2020-01-24,Malta,0
2020-01-24,Martinique,0
2020-01-24,Mauritania,0
2020-01-24,Mauritius,0
2020-01-24,Mexico,0
2020-01-24,Moldova,0
2020-01-24,Monaco,0
2020-01-24,Mongolia,0
2020-01-24,Montenegro,0
2020-01-24,Morocco,0
2020-01-24,Namibia,0
2020-01-24,Nepal,0
2020-01-24,Netherlands,0
2020-01-24,New Zealand,0
2020-01-24,Nigeria,0
2020-01-24,North Macedonia,0
2020-01-24,Norway,0
2020-01-24,Oman,0
2020-01-24,Pakistan,0
2020-01-24,Panama,0
2020-01-24,Paraguay,0
2020-01-24,Peru,0
2020-01-24,Philippines,0
2020-01-24,Poland,0
2020-01-24,Portugal,0
2020-01-24,Qatar,0
2020-01-24,Romania,0
2020-01-24,Russia,0
2020-01-24,Rwanda,0
2020-01-24,Saint Lucia,0
2020-01-24,Saint Vincent and the Grenadines,0
2020-01-24,San Marino,0
2020-01-24,Saudi Arabia,0
2020-01-24,Senegal,0
2020-01-24,Serbia,0
2020-01-24,Seychelles,0
2020-01-24,Singapore,3
2020-01-24,Slovakia,0
2020-01-24,Slovenia,0
2020-01-24,Somalia,0
2020-01-24,South Africa,0
2020-01-24,Spain,0
2020-01-24,Sri Lanka,0
2020-01-24,Sudan,0
2020-01-24,Suriname,0
2020-01-24,Sweden,0
2020-01-24,Switzerland,0
2020-01-24,Taiwan*,3
2020-01-24,Tanzania,0
2020-01-24,Thailand,5
2020-01-24,The Bahamas,0
2020-01-24,Togo,0
2020-01-24,Trinidad and Tobago,0
2020-01-24,Tunisia,0
2020-01-24,Turkey,0
2020-01-24,US,2
2020-01-24,Ukraine,0
2020-01-24,United Arab Emirates,0
2020-01-24,United Kingdom,0
2020-01-24,Uruguay,0
2020-01-24,Uzbekistan,0
2020-01-24,Venezuela,0
2020-01-24,Vietnam,2
2020-01-24,Zambia,0
2020-01-25,Afghanistan,0
2020-01-25,Albania,0
2020-01-25,Algeria,0
2020-01-25,Andorra,0
2020-01-25,Antigua and Barbuda,0
2020-01-25,Argentina,0
2020-01-25,Armenia,0
2020-01-25,Australia,0
2020-01-25,Austria,0
2020-01-25,Azerbaijan,0
2020-01-25,Bahrain,0
2020-01-25,Bangladesh,0
2020-01-25,Barbados,0
2020-01-25,Belarus,0
2020-01-25,Belgium,0
2020-01-25,Benin,0
2020-01-25,Bhutan,0
2020-01-25,Bolivia,0
2020-01-25,Bosnia and Herzegovina,0
2020-01-25,Brazil,0
2020-01-25,Brunei,0
2020-01-25,Bulgaria,0
2020-01-25,Burkina Faso,0
2020-01-25,Cambodia,0
2020-01-25,Cameroon,0
2020-01-25,Canada,0
2020-01-25,Central African Republic,0
2020-01-25,Chile,0
2020-01-25,China,1406
2020-01-25,Colombia,0
2020-01-25,Congo (Brazzaville),0
2020-01-25,Congo (Kinshasa),0
2020-01-25,Costa Rica,0
2020-01-25,Cote d'Ivoire,0
2020-01-25,Croatia,0
2020-01-25,Cruise Ship,0
2020-01-25,Cuba,0
2020-01-25,Cyprus,0
2020-01-25,Czechia,0
2020-01-25,Denmark,0
2020-01-25,Djibouti,0
2020-01-25,Dominican Republic,0
2020-01-25,Ecuador,0
2020-01-25,Egypt,0
2020-01-25,Equatorial Guinea,0
2020-01-25,Estonia,0
2020-01-25,Eswatini,0
2020-01-25,Ethiopia,0
2020-01-25,Finland,0
2020-01-25,France,3
2020-01-25,Gabon,0
2020-01-25,"Gambia, The",0
2020-01-25,Georgia,0
2020-01-25,Germany,0
2020-01-25,Ghana,0
2020-01-25,Greece,0
2020-01-25,Greenland,0
2020-01-25,Guatemala,0
2020-01-25,Guinea,0
2020-01-25,Guyana,0
2020-01-25,Holy See,0
2020-01-25,Honduras,0
2020-01-25,Hungary,0
2020-01-25,Iceland,0
2020-01-25,India,0
2020-01-25,Indonesia,0
2020-01-25,Iran,0
2020-01-25,Iraq,0
2020-01-25,Ireland,0
2020-01-25,Israel,0
2020-01-25,Italy,0
2020-01-25,Jamaica,0
2020-01-25,Japan,2
2020-01-25,Jordan,0
2020-01-25,Kazakhstan,0
2020-01-25,Kenya,0
2020-01-25,"Korea, South",2
2020-01-25,Kosovo,0
2020-01-25,Kuwait,0
2020-01-25,Kyrgyzstan,0
2020-01-25,Latvia,0
2020-01-25,Lebanon,0
2020-01-25,Liberia,0
2020-01-25,Liechtenstein,0
2020-01-25,Lithuania,0
2020-01-25,Luxembourg,0
2020-01-25,Malaysia,3
2020-01-25,Maldives,0
2020-01-25,Malta,0
2020-01-25,Martinique,0
2020-01-25,Mauritania,0
2020-01-25,Mauritius,0
2020-01-25,Mexico,0
2020-01-25,Moldova,0
2020-01-25,Monaco,0
2020-01-25,Mongolia,0
2020-01-25,Montenegro,0
2020-01-25,Morocco,0
2020-01-25,Namibia,0
2020-01-25,Nepal,1
2020-01-25,Netherlands,0
2020-01-25,New Zealand,0
2020-01-25,Nigeria,0
2020-01-25,North Macedonia,0
2020-01-25,Norway,0
2020-01-25,Oman,0
2020-01-25,Pakistan,0
2020-01-25,Panama,0
2020-01-25,Paraguay,0
2020-01-25,Peru,0
2020-01-25,Philippines,0
2020-01-25,Poland,0
2020-01-25,Portugal,0
2020-01-25,Qatar,0
2020-01-25,Romania,0
2020-01-25,Russia,0
2020-01-25,Rwanda,0
2020-01-25,Saint Lucia,0
2020-01-25,Saint Vincent and the Grenadines,0
2020-01-25,San Marino,0
2020-01-25,Saudi Arabia,0
2020-01-25,Senegal,0
2020-01-25,Serbia,0
2020-01-25,Seychelles,0
2020-01-25,Singapore,3
2020-01-25,Slovakia,0
2020-01-25,Slovenia,0
2020-01-25,Somalia,0
2020-01-25,South Africa,0
2020-01-25,Spain,0
2020-01-25,Sri Lanka,0
2020-01-25,Sudan,0
2020-01-25,Suriname,0
2020-01-25,Sweden,0
2020-01-25,Switzerland,0
2020-01-25,Taiwan*,3
2020-01-25,Tanzania,0
2020-01-25,Thailand,7
2020-01-25,The Bahamas,0
2020-01-25,Togo,0
2020-01-25,Trinidad and Tobago,0
2020-01-25,Tunisia,0
2020-01-25,Turkey,0
2020-01-25,US,2
2020-01-25,Ukraine,0
2020-01-25,United Arab Emirates,0
2020-01-25,United Kingdom,0
2020-01-25,Uruguay,0
2020-01-25,Uzbekistan,0
2020-01-25,Venezuela,0
2020-01-25,Vietnam,2
2020-01-25,Zambia,0
2020-01-26,Afghanistan,0
2020-01-26,Albania,0
2020-01-26,Algeria,0
2020-01-26,Andorra,0
2020-01-26,Antigua and Barbuda,0
2020-01-26,Argentina,0
2020-01-26,Armenia,0
2020-01-26,Australia,4
2020-01-26,Austria,0
2020-01-26,Azerbaijan,0
2020-01-26,Bahrain,0
2020-01-26,Bangladesh,0
2020-01-26,Barbados,0
2020-01-26,Belarus,0
2020-01-26,Belgium,0
2020-01-26,Benin,0
2020-01-26,Bhutan,0
2020-01-26,Bolivia,0
2020-01-26,Bosnia and Herzegovina,0
2020-01-26,Brazil,0
2020-01-26,Brunei,0
2020-01-26,Bulgaria,0
2020-01-26,Burkina Faso,0
2020-01-26,Cambodia,0
2020-01-26,Cameroon,0
2020-01-26,Canada,1
2020-01-26,Central African Republic,0
2020-01-26,Chile,0
2020-01-26,China,2075
2020-01-26,Colombia,0
2020-01-26,Congo (Brazzaville),0
2020-01-26,Congo (Kinshasa),0
2020-01-26,Costa Rica,0
2020-01-26,Cote d'Ivoire,0
2020-01-26,Croatia,0
2020-01-26,Cruise Ship,0
2020-01-26,Cuba,0
2020-01-26,Cyprus,0
2020-01-26,Czechia,0
2020-01-26,Denmark,0
2020-01-26,Djibouti,0
2020-01-26,Dominican Republic,0
2020-01-26,Ecuador,0
2020-01-26,Egypt,0
2020-01-26,Equatorial Guinea,0
2020-01-26,Estonia,0
2020-01-26,Eswatini,0
2020-01-26,Ethiopia,0
2020-01-26,Finland,0
2020-01-26,France,3
2020-01-26,Gabon,0
2020-01-26,"Gambia, The",0
2020-01-26,Georgia,0
2020-01-26,Germany,0
2020-01-26,Ghana,0
2020-01-26,Greece,0
2020-01-26,Greenland,0
2020-01-26,Guatemala,0
2020-01-26,Guinea,0
2020-01-26,Guyana,0
2020-01-26,Holy See,0
2020-01-26,Honduras,0
2020-01-26,Hungary,0
2020-01-26,Iceland,0
2020-01-26,India,0
2020-01-26,Indonesia,0
2020-01-26,Iran,0
2020-01-26,Iraq,0
2020-01-26,Ireland,0
2020-01-26,Israel,0
2020-01-26,Italy,0
2020-01-26,Jamaica,0
2020-01-26,Japan,4
2020-01-26,Jordan,0
2020-01-26,Kazakhstan,0
2020-01-26,Kenya,0
2020-01-26,"Korea, South",3
2020-01-26,Kosovo,0
2020-01-26,Kuwait,0
2020-01-26,Kyrgyzstan,0
2020-01-26,Latvia,0
2020-01-26,Lebanon,0
2020-01-26,Liberia,0
2020-01-26,Liechtenstein,0
2020-01-26,Lithuania,0
2020-01-26,Luxembourg,0
2020-01-26,Malaysia,4
2020-01-26,Maldives,0
2020-01-26,Malta,0
2020-01-26,Martinique,0
2020-01-26,Mauritania,0
2020-01-26,Mauritius,0
2020-01-26,Mexico,0
2020-01-26,Moldova,0
2020-01-26,Monaco,0
2020-01-26,Mongolia,0
2020-01-26,Montenegro,0
2020-01-26,Morocco,0
2020-01-26,Namibia,0
2020-01-26,Nepal,1
2020-01-26,Netherlands,0
2020-01-26,New Zealand,0
2020-01-26,Nigeria,0
2020-01-26,North Macedonia,0
2020-01-26,Norway,0
2020-01-26,Oman,0
2020-01-26,Pakistan,0
2020-01-26,Panama,0
2020-01-26,Paraguay,0
2020-01-26,Peru,0
2020-01-26,Philippines,0
2020-01-26,Poland,0
2020-01-26,Portugal,0
2020-01-26,Qatar,0
2020-01-26,Romania,0
2020-01-26,Russia,0
2020-01-26,Rwanda,0
2020-01-26,Saint Lucia,0
2020-01-26,Saint Vincent and the Grenadines,0
2020-01-26,San Marino,0
2020-01-26,Saudi Arabia,0
2020-01-26,Senegal,0
2020-01-26,Serbia,0
2020-01-26,Seychelles,0
2020-01-26,Singapore,4
2020-01-26,Slovakia,0
2020-01-26,Slovenia,0
2020-01-26,Somalia,0
2020-01-26,South Africa,0
2020-01-26,Spain,0
2020-01-26,Sri Lanka,0
2020-01-26,Sudan,0
2020-01-26,Suriname,0
2020-01-26,Sweden,0
2020-01-26,Switzerland,0
2020-01-26,Taiwan*,4
2020-01-26,Tanzania,0
2020-01-26,Thailand,8
2020-01-26,The Bahamas,0
2020-01-26,Togo,0
2020-01-26,Trinidad and Tobago,0
2020-01-26,Tunisia,0
2020-01-26,Turkey,0
2020-01-26,US,5
2020-01-26,Ukraine,0
2020-01-26,United Arab Emirates,0
2020-01-26,United Kingdom,0
2020-01-26,Uruguay,0
2020-01-26,Uzbekistan,0
2020-01-26,Venezuela,0
2020-01-26,Vietnam,2
2020-01-26,Zambia,0
2020-01-27,Afghanistan,0
2020-01-27,Albania,0
2020-01-27,Algeria,0
2020-01-27,Andorra,0
2020-01-27,Antigua and Barbuda,0
2020-01-27,Argentina,0
2020-01-27,Armenia,0
2020-01-27,Australia,5
2020-01-27,Austria,0
2020-01-27,Azerbaijan,0
2020-01-27,Bahrain,0
2020-01-27,Bangladesh,0
2020-01-27,Barbados,0
2020-01-27,Belarus,0
2020-01-27,Belgium,0
2020-01-27,Benin,0
2020-01-27,Bhutan,0
2020-01-27,Bolivia,0
2020-01-27,Bosnia and Herzegovina,0
2020-01-27,Brazil,0
2020-01-27,Brunei,0
2020-01-27,Bulgaria,0
2020-01-27,Burkina Faso,0
2020-01-27,Cambodia,1
2020-01-27,Cameroon,0
2020-01-27,Canada,1
2020-01-27,Central African Republic,0
2020-01-27,Chile,0
2020-01-27,China,2877
2020-01-27,Colombia,0
2020-01-27,Congo (Brazzaville),0
2020-01-27,Congo (Kinshasa),0
2020-01-27,Costa Rica,0
2020-01-27,Cote d'Ivoire,0
2020-01-27,Croatia,0
2020-01-27,Cruise Ship,0
2020-01-27,Cuba,0
2020-01-27,Cyprus,0
2020-01-27,Czechia,0
2020-01-27,Denmark,0
2020-01-27,Djibouti,0
2020-01-27,Dominican Republic,0
2020-01-27,Ecuador,0
2020-01-27,Egypt,0
2020-01-27,Equatorial Guinea,0
2020-01-27,Estonia,0
2020-01-27,Eswatini,0
2020-01-27,Ethiopia,0
2020-01-27,Finland,0
2020-01-27,France,3
2020-01-27,Gabon,0
2020-01-27,"Gambia, The",0
2020-01-27,Georgia,0
2020-01-27,Germany,1
2020-01-27,Ghana,0
2020-01-27,Greece,0
2020-01-27,Greenland,0
2020-01-27,Guatemala,0
2020-01-27,Guinea,0
2020-01-27,Guyana,0
2020-01-27,Holy See,0
2020-01-27,Honduras,0
2020-01-27,Hungary,0
2020-01-27,Iceland,0
2020-01-27,India,0
2020-01-27,Indonesia,0
2020-01-27,Iran,0
2020-01-27,Iraq,0
2020-01-27,Ireland,0
2020-01-27,Israel,0
2020-01-27,Italy,0
2020-01-27,Jamaica,0
2020-01-27,Japan,4
2020-01-27,Jordan,0
2020-01-27,Kazakhstan,0
2020-01-27,Kenya,0
2020-01-27,"Korea, South",4
2020-01-27,Kosovo,0
2020-01-27,Kuwait,0
2020-01-27,Kyrgyzstan,0
2020-01-27,Latvia,0
2020-01-27,Lebanon,0
2020-01-27,Liberia,0
2020-01-27,Liechtenstein,0
2020-01-27,Lithuania,0
2020-01-27,Luxembourg,0
2020-01-27,Malaysia,4
2020-01-27,Maldives,0
2020-01-27,Malta,0
2020-01-27,Martinique,0
2020-01-27,Mauritania,0
2020-01-27,Mauritius,0
2020-01-27,Mexico,0
2020-01-27,Moldova,0
2020-01-27,Monaco,0
2020-01-27,Mongolia,0
2020-01-27,Montenegro,0
2020-01-27,Morocco,0
2020-01-27,Namibia,0
2020-01-27,Nepal,1
2020-01-27,Netherlands,0
2020-01-27,New Zealand,0
2020-01-27,Nigeria,0
2020-01-27,North Macedonia,0
2020-01-27,Norway,0
2020-01-27,Oman,0
2020-01-27,Pakistan,0
2020-01-27,Panama,0
2020-01-27,Paraguay,0
2020-01-27,Peru,0
2020-01-27,Philippines,0
2020-01-27,Poland,0
2020-01-27,Portugal,0
2020-01-27,Qatar,0
2020-01-27,Romania,0
2020-01-27,Russia,0
2020-01-27,Rwanda,0
2020-01-27,Saint Lucia,0
2020-01-27,Saint Vincent and the Grenadines,0
2020-01-27,San Marino,0
2020-01-27,Saudi Arabia,0
2020-01-27,Senegal,0
2020-01-27,Serbia,0
2020-01-27,Seychelles,0
2020-01-27,Singapore,5
2020-01-27,Slovakia,0
2020-01-27,Slovenia,0
2020-01-27,Somalia,0
2020-01-27,South Africa,0
2020-01-27,Spain,0
2020-01-27,Sri Lanka,1
2020-01-27,Sudan,0
2020-01-27,Suriname,0
2020-01-27,Sweden,0
2020-01-27,Switzerland,0
2020-01-27,Taiwan*,5
2020-01-27,Tanzania,0
2020-01-27,Thailand,8
2020-01-27,The Bahamas,0
2020-01-27,Togo,0
2020-01-27,Trinidad and Tobago,0
2020-01-27,Tunisia,0
2020-01-27,Turkey,0
2020-01-27,US,5
2020-01-27,Ukraine,0
2020-01-27,United Arab Emirates,0
2020-01-27,United Kingdom,0
2020-01-27,Uruguay,0
2020-01-27,Uzbekistan,0
2020-01-27,Venezuela,0
2020-01-27,Vietnam,2
2020-01-27,Zambia,0
2020-01-28,Afghanistan,0
2020-01-28,Albania,0
2020-01-28,Algeria,0
2020-01-28,Andorra,0
2020-01-28,Antigua and Barbuda,0
2020-01-28,Argentina,0
2020-01-28,Armenia,0
2020-01-28,Australia,5
2020-01-28,Austria,0
2020-01-28,Azerbaijan,0
2020-01-28,Bahrain,0
2020-01-28,Bangladesh,0
2020-01-28,Barbados,0
2020-01-28,Belarus,0
2020-01-28,Belgium,0
2020-01-28,Benin,0
2020-01-28,Bhutan,0
2020-01-28,Bolivia,0
2020-01-28,Bosnia and Herzegovina,0
2020-01-28,Brazil,0
2020-01-28,Brunei,0
2020-01-28,Bulgaria,0
2020-01-28,Burkina Faso,0
2020-01-28,Cambodia,1
2020-01-28,Cameroon,0
2020-01-28,Canada,2
2020-01-28,Central African Republic,0
2020-01-28,Chile,0
2020-01-28,China,5509
2020-01-28,Colombia,0
2020-01-28,Congo (Brazzaville),0
2020-01-28,Congo (Kinshasa),0
